web-scraper-order,web-scraper-start-url,detail_link,detail_link-href,restaurant_name,total_stars,number_of_reviews,cuisine_type,price_class,raw_description,opening_times,address,amenities,district,long_lat,lat,long,reservation_status
1704906267-1,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Restaurant Pflug,https://de.yelp.ch/biz/restaurant-pflug-z%C3%BCrich?osq=Restaurants,Restaurant Pflug,4.0,(9 reviews),Schweizer Küche,$$$,,"12:00 PM - 2:00 PM, 6:30 PM - 12:00 AM (Folgetag)",Brauerstrasse 74 8004 Zürich,Reservationen möglichKeine MitnahmeModerate LautstärkeKeine Sitzplätze im Freien,Kreis 4,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.379016%2C8.524960&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.379016%2C8.524960&signature=da2Y4DTJUNLPn1dPEgzZAp6Nn_8=,47.379016,8.52496,1.0
1704906272-2,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Ototo,https://de.yelp.ch/biz/ototo-z%C3%BCrich?osq=Restaurants,Ototo,4.3,(7 reviews),Sushi,$$$,,5:30 PM - 11:00 PM,Nordstrasse 199 8037 Zürich,Reservationen möglichLieferung möglichBestellung zum AbholenSitzplätze im Freien,Kreis 10,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.392527%2C8.530738&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.392527%2C8.530738&signature=RrUYAJZtb8Y6MJdnhZsL2QqD77w=,47.392527,8.530738,1.0
1704906276-3,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Tschingg,https://de.yelp.ch/biz/tschingg-z%C3%BCrich-2?osq=Restaurants,Tschingg,3.8,(6 reviews),Italienisch,$$,,9:00 AM - 8:00 PM,Schaffhauserstrasse 353 8050 Zürich,Keine ReservierungenFür Gruppen geeignetFür Kinder geeignet,Kreis 11,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.409786%2C8.546027&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.409786%2C8.546027&signature=He9JpBA14wVqH5DoQgUlkQFleO8=,47.409786,8.546027,0.0
1704906281-4,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Karl der Grosse,https://de.yelp.ch/biz/karl-der-grosse-z%C3%BCrich?osq=Restaurants,Karl der Grosse,4.0,(4 reviews),Schweizer Küche,$$,,8:00 AM - 11:00 PM,Kirchgasse 14 8001 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im Freien,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.369761%2C8.544650&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.369761%2C8.544650&signature=JxM8CZYZcqkzK0dnEafenZd5SMI=,47.369761,8.54465,1.0
1704906286-5,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,L’Altro,https://de.yelp.ch/biz/l-altro-z%C3%BCrich?osq=Restaurants,L'Altro,5.0,(7 reviews),Italienisch,$$$,,"11:30 AM - 2:30 PM, 5:30 PM - 12:00 AM (Folgetag)",Sternenstrasse 11 8002 Zürich,Reservationen möglichKeine MitnahmeSitzplätze im FreienModerate Lautstärke,Kreis 2,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.360064%2C8.534062&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.360064%2C8.534062&signature=sqS4MMYnYBHrrg2OYyL1pXUUP90=,47.360064,8.534062,1.0
1704906290-6,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Bimi,https://de.yelp.ch/biz/bimi-z%C3%BCrich?osq=Restaurants,Bimi,4.2,(29 reviews),Japanisch,$$$,,"11:30 AM - 2:30 PM, 6:00 PM - 11:00 PM",Seefeldstrasse 25 8008 Zürich,Reservationen möglichBestellung zum AbholenKein LieferserviceSitzplätze im Freien,Kreis 8,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.363713%2C8.549531&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.363713%2C8.549531&signature=gFiG_HbuIb3NU_4nHZuDLTw-s_w=,47.363713,8.549531,1.0
1704906295-7,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,eCHo,https://de.yelp.ch/biz/echo-z%C3%BCrich-3?osq=Restaurants,eCHo,3.8,(31 reviews),Schweizer Küche,$$$$,"The taste of Switzerland! The eCHo restaurant fully commits to the tradition of Swiss cuisine.
Everything is prepared according to original recipes and the dishes are presented with flair and
creativity. All our products are fresh and originate from the region. Enjoy the atmosphere combini…",6:00 PM - 10:30 PM,Neumühlequai 42 8006 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeLeise,Kreis 6,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.382486%2C8.540407&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.382486%2C8.540407&signature=tDy2pV4ZatMfzWVxJ6TcEA4XqxA=,47.382486,8.540407,1.0
1704906299-8,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Le Cèdre Maurice,https://de.yelp.ch/biz/le-c%C3%A8dre-maurice-z%C3%BCrich?osq=Restaurants,Le Cèdre Maurice,4.7,(3 reviews),Libanesisch,,"Libanesische Gerichte - Orient in Zürich!  An der Nüschelerstrasse bieten wir zusätzlich zu unserer
Spezialitätenkarte mit Mezzeh, Grilladen und mehr eine grosse Variation an frisch zubereiteten
Sandwiches zum Mitnehmen an.                       Unsere beiden Klassiker sind die von Kennern übera…","11:30 AM - 3:00 PM, 5:00 PM - 10:00 PM",Nüschelerstrasse 31 8001 Zürich,,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.372264%2C8.535761&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.372264%2C8.535761&signature=uE10GV3yo8fg6vkH57fY0L8mO04=,47.372264,8.535761,
1704906303-9,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Enzian,https://de.yelp.ch/biz/enzian-z%C3%BCrich-3?osq=Restaurants,Enzian,4.6,(5 reviews),Schweizer Küche,,,9:00 AM - 11:00 PM,Nirderdorfstrasse 30 8001 Zürich,Sitzplätze im Freien,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.374175%2C8.543623&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.374175%2C8.543623&signature=9GfsmLQNaQHuU00wsco-qt7d4-4=,47.374175,8.543623,
1704906308-10,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Restaurant New Bombay,https://de.yelp.ch/biz/restaurant-new-bombay-z%C3%BCrich?osq=Restaurants,Restaurant New Bombay,4.1,(13 reviews),Indisch,,,11:00 AM - 11:00 PM,Predigerplatz 34 8001 Zürich,,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.373596%2C8.545746&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.373596%2C8.545746&signature=rQgGcaNPjbk4PXikil_l8ZS1URU=,47.373596,8.545746,
1704906316-11,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,AYVERDI’S,https://de.yelp.ch/biz/ayverdis-z%C3%BCrich-4?osq=Restaurants,AYVERDI'S,3.8,(9 reviews),Döner & Kebab,$$$,"Hat 2002 eröffnet. Die sechsköpfige Familie Ayverdi kam 1989 in die Schweiz. Fuss fassen konnte die
kurdisch-stämmige Familie im Entlebuch. 2002 kam der Wunsch und schliesslich Entschluss, ein
Restaurant zu eröffnen. Einige Lokalitäten standen zur Auswahl, worauf sich die Familie für das Lo…",10:00 AM - 11:00 PM,Genossenschaftsstrasse 18 8050 Zürich,Bestellung zum AbholenKeine ReservierungenKein LieferserviceSitzplätze im Freien,Kreis 12,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.414668%2C8.561253&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.414668%2C8.561253&signature=HX6Jy4DLzwmU_Lfw5lhTvb68gQc=,47.414668,8.561253,0.0
1704906321-12,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,Heinrich 109,https://de.yelp.ch/biz/heinrich-109-z%C3%BCrich-2?osq=Restaurants,Heinrich 109,4.0,(2 reviews),"Wein, Bier & Spirituosen",$$,"Ausgesuchte Weine und Spezialitäten aus der Schweiz, Frankreich, Italien, Marokko und Tunesien.
Cremant d'Alsace, Bordeaux, Barolo. Guerouane. Absinthe, Armagnac, Damassine.. Chocolat
Absinthe, Alp Raclette und Fondue Terrines et Saucissons...",12:00 PM - 7:00 PM,Heinrichstrasse 109 8005 Zürich,Lieferung möglichAlle Alkoholika,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.385546%2C8.528639&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.385546%2C8.528639&signature=70T-wfv-_Elli6Qk_6-7FHUbtGY=,47.385546,8.528639,
