web-scraper-order,web-scraper-start-url,detail_link,detail_link-href,restaurant_name,total_stars,number_of_reviews,cuisine_type,price_class,raw_description,opening_times,address,district,long_lat,all_amenities,lat,long,takes_reservations,delivery,outdoor_seating,good_for_kids,good_for_groups,tv
1705095756-1,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,White Elephant,https://de.yelp.ch/biz/white-elephant-z%C3%BCrich?osq=Restaurants,White Elephant,4.3,(30 reviews),Thailändisch,3.0,"The White Elephant restaurant has the reputation to be one of the city's best Thai restaurants. Since
1991 it offers an authentic cuisine with the full scope of original spices. The entire team originates
from Thailand and greets you with open hearts and welcoming smiles. Indulge in this distinctive T…","12:00 PM - 2:00 PM, 6:00 PM - 10:00 PM",Neumühlequai 42 8006 Zürich,Kreis 6,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.382439%2C8.540643&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.382439%2C8.540643&signature=wglBKqrHSk175AjWf177m4gWQnw=,"Reservationen möglichBestellung zum AbholenKein LieferserviceLeger, Romantisch, GehobenModerate LautstärkeFür Gruppen geeignetFür Kinder geeignetParkieren im ParkhausBedienungWLAN kostenlosAlle AlkoholikaKeine Sitzplätze im FreienHunde nicht erlaubtNicht RollstuhlgerechtKein TV",47.382439,8.540643,1.0,0.0,1.0,1.0,1.0,1.0
1705095762-2,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Bamboo Inn,https://de.yelp.ch/biz/bamboo-inn-z%C3%BCrich?osq=Restaurants,Bamboo Inn,4.0,(2 reviews),Chinesisch,,,"11:30 AM - 2:00 PM, 6:00 PM - 10:00 PM",Culmannstrasse 19 8006 Zürich,Kreis 6,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.380480%2C8.547261&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.380480%2C8.547261&signature=rTqxugR9v9x0PMlqjndvRkyQoiw=,Lieferung möglichBestellung zum AbholenFür Kinder geeignet,47.38048,8.547261,,1.0,,1.0,,
1705095768-3,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Restaurant Luca²,https://de.yelp.ch/biz/restaurant-luca%C2%B2-z%C3%BCrich?osq=Restaurants,Restaurant Luca²,4.7,(6 reviews),Mediterran,3.0,"Mediterrane Küche, besondere Weine","11:30 AM - 2:00 PM, 6:30 PM - 11:45 PM",Asylstrasse 81 8032 Zürich,Kreis 7,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.366809%2C8.561675&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.366809%2C8.561675&signature=l65eAxqoXQyYxPTJ32dvVa8jVkE=,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im FreienFür Gruppen geeignetTVNicht für Kinder geeignet,47.366809,8.561675,1.0,0.0,1.0,0.0,1.0,1.0
1705095776-4,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,L’Altro,https://de.yelp.ch/biz/l-altro-z%C3%BCrich?osq=Restaurants,L'Altro,5.0,(7 reviews),Italienisch,3.0,,"11:30 AM - 2:30 PM, 5:30 PM - 12:00 AM (Folgetag)",Sternenstrasse 11 8002 Zürich,Kreis 2,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.360064%2C8.534062&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.360064%2C8.534062&signature=sqS4MMYnYBHrrg2OYyL1pXUUP90=,Reservationen möglichKeine MitnahmeSitzplätze im FreienModerate LautstärkeSchickFür Gruppen geeignetFür Kinder geeignet,47.360064,8.534062,1.0,,1.0,1.0,1.0,
1705095787-6,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Ototo,https://de.yelp.ch/biz/ototo-z%C3%BCrich?osq=Restaurants,Ototo,4.3,(7 reviews),Sushi,3.0,,5:30 PM - 11:00 PM,Nordstrasse 199 8037 Zürich,Kreis 10,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.392527%2C8.530738&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.392527%2C8.530738&signature=RrUYAJZtb8Y6MJdnhZsL2QqD77w=,Reservationen möglichLieferung möglichBestellung zum AbholenSitzplätze im FreienLeiseFür Gruppen geeignetFür Kinder geeignetAlle AlkoholikaTVKein WLAN,47.392527,8.530738,1.0,1.0,1.0,1.0,1.0,1.0
1705095793-7,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Chimy’s,https://de.yelp.ch/biz/chimy-s-z%C3%BCrich?osq=Restaurants,Chimy’s,4.7,(3 reviews),Vegetarisch,,,"11:30 AM - 2:00 PM, 6:00 PM - 11:00 PM",Neugasse 76 8005 Zürich,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.383290%2C8.528432&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.383290%2C8.528432&signature=dZ7eT-3vYAGDnH84pXHmYcBA9A8=,TV,47.38329,8.528432,,,,,,1.0
1705095800-8,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Santa Lucia Limmatplatz,https://de.yelp.ch/biz/santa-lucia-limmatplatz-z%C3%BCrich?osq=Restaurants,Santa Lucia Limmatplatz,3.8,(23 reviews),Italienisch,2.0,,11:30 AM - 11:45 PM,Luisenstrasse 31 8005 Zürich,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.383867%2C8.529575&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.383867%2C8.529575&signature=91aPjnn2TwOHghGzX0l8gd1bh6s=,"Reservationen möglichLieferung möglichBestellung zum AbholenSitzplätze im FreienModerate LautstärkeFür Gruppen geeignetFür Kinder geeignetEmpfehlenswert für: Mittagessen, AbendessenParkieren an der StrasseNur Bier & WeinKein WLANKein TV",47.383867,8.529575,1.0,1.0,1.0,1.0,1.0,1.0
1705095807-9,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,The Alehouse,https://de.yelp.ch/biz/the-alehouse-z%C3%BCrich?osq=Restaurants,The Alehouse,4.6,(12 reviews),Pub,2.0,"NEU: DESTA'S COFFEE - Montag-Freitag ab 07:30am  In Zürichs erstem Alehouse gibt es an 20 Taps
verschiedenste Biere aus Schweizer Mikrobrauereien und internationale Biere vom deutschen
Hellen bis zum japanischen IPA, die Beers'N'More Beerscout Jonathan speziell für THE Alehouse a…",11:30 AM - 12:00 AM (Folgetag),Universitätstrasse 23 8006 Zürich,Kreis 6,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.379105%2C8.547902&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.379105%2C8.547902&signature=7L7we40P8yIlAWEyOvZWBAr-2Ws=,"Reservationen möglichBestellung zum AbholenKein LieferserviceSitzplätze im FreienModerate LautstärkeFür Gruppen geeignetFür Kinder geeignetParkieren an der Strasse, Parkieren auf KundenparkplatzBedienungWLAN kostenlosBeste Nächte: DonnerstagAlle AlkoholikaNicht zum Tanzen geeignetKein BilliardtischNicht RollstuhlgerechtKein TV",47.379105,8.547902,1.0,0.0,1.0,1.0,1.0,1.0
1705095814-10,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Restaurant a fatt,https://de.yelp.ch/biz/restaurant-a-fatt-z%C3%BCrich?osq=Restaurants,Restaurant a fatt,5.0,(1 review),Chinesisch,,,11:00 AM - 10:00 PM,Limmatstrasse 189 8005 Zürich,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.386335%2C8.529036&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.386335%2C8.529036&signature=QJF90RT5F6IVnMYvA_RnqYPhNBw=,Bestellung zum AbholenSitzplätze im FreienNur Bier & WeinKeine Happy HourNicht RollstuhlgerechtKein TV,47.386335,8.529036,,,1.0,,,1.0
1705095824-11,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,AYVERDI’S,https://de.yelp.ch/biz/ayverdis-z%C3%BCrich-4?osq=Restaurants,AYVERDI'S,3.8,(9 reviews),Döner & Kebab,3.0,"Hat 2002 eröffnet. Die sechsköpfige Familie Ayverdi kam 1989 in die Schweiz. Fuss fassen konnte die
kurdisch-stämmige Familie im Entlebuch. 2002 kam der Wunsch und schliesslich Entschluss, ein
Restaurant zu eröffnen. Einige Lokalitäten standen zur Auswahl, worauf sich die Familie für das Lo…",10:00 AM - 11:00 PM,Genossenschaftsstrasse 18 8050 Zürich,Kreis 12,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.414668%2C8.561253&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.414668%2C8.561253&signature=HX6Jy4DLzwmU_Lfw5lhTvb68gQc=,"Bestellung zum AbholenKeine ReservierungenKein LieferserviceSitzplätze im FreienLautFür Gruppen geeignetFür Kinder geeignetParkieren im Parkhaus, Parkieren an der Strasse, Parkieren auf KundenparkplatzWLAN kostenlosNur Bier & WeinHunde erlaubtRollstuhlgerechtKeine BedienungKeine Happy HourKein TV",47.414668,8.561253,,0.0,1.0,1.0,1.0,1.0
1705095830-12,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,Sasu,https://de.yelp.ch/biz/sasu-z%C3%BCrich-2?osq=Restaurants,Sasu,5.0,(1 review),Smoothies & Saftbar,,"No additions, no secrets, no second thoughts. Juices & food with character.  Daily lunch menu
(always vegan), bagels, smoothies, bowls & juice everything to take out!   Sundays brunch from
10am to 4pm  Cleanse Ready for a body reboot?  Try our locally produced organic juice cure. Four…",11:00 AM - 9:00 PM,Neugasse 41 8005 Zürich,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.382406%2C8.529931&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.382406%2C8.529931&signature=bY-NBYspIpP5Tu2KCwLfTSrs2Cs=,Reservationen möglichBestellung zum AbholenVegane AngeboteParkieren an der StrasseWLAN kostenlosHunde erlaubtKein AlkoholNicht Rollstuhlgerecht,47.382406,8.529931,1.0,,,,,
1705095841-14,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,The Market Grill,https://de.yelp.ch/biz/the-market-grill-z%C3%BCrich?osq=Restaurants,The Market Grill,5.0,(1 review),BBQ & Barbecue,,,,,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.371592%2C8.538604&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.371592%2C8.538604&signature=lSOZuO744lUWEj6DOiDCkwS4Tk4=,Keine ReservierungenNicht für Gruppen geeignet,47.371592,8.538604,,,,,0.0,
1705095848-15,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,Restaurant Zum Türmli,https://de.yelp.ch/biz/restaurant-zum-t%C3%BCrmli-watt?osq=Restaurants,Restaurant Zum Türmli,5.0,(1 review),Portugiesisch,,Schweizer und Portugiesisch Spezialität,10:00 AM - 11:00 PM,Niederhaslistrasse 4 8105 Watt,,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.443452%2C8.482321&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.443452%2C8.482321&signature=PbqGfPni0nJnoWnx-WTYnuU8xdo=,"Reservationen möglichBestellung zum AbholenSitzplätze im FreienParkieren im Parkhaus, Parkieren auf KundenparkplatzBedienungWLAN kostenlosAlle AlkoholikaHunde erlaubtRollstuhlgerechtTV",47.443452,8.482321,1.0,,1.0,,,1.0
1705095855-16,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,Pavillon,https://de.yelp.ch/biz/pavillon-z%C3%BCrich-2?osq=Restaurants,Pavillon,4.4,(7 reviews),Schweizer Küche,4.0,"The Pavillon, Baur au Lac's recently refurbished restaurant, features fresh and modern cuisine
within an environment that effortlessly fuses contemporary and classic style.  The kitchen team
creates an artful combination of traditional ingredients and flavors with creative and innovative pr…",7:00 PM - 11:00 PM,Talstrasse 1 8001 Zürich,Kreis 2,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.366839%2C8.538634&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.366839%2C8.538634&signature=9wAFb64H0XtZ5L_kR4OXIpL5GZ0=,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im FreienEdelLeiseSchickFür Gruppen geeignetBedienungWLAN kostenlosAlle AlkoholikaRollstuhlgerechtNicht für Kinder geeignetKeine Happy HourKein Drive-InHunde nicht erlaubtKein TV,47.366839,8.538634,1.0,0.0,1.0,0.0,1.0,1.0
